bmp,pollutant,unit,N,ND_infl,ND_effl,dl,A,B,e1,C,D,E,e2,Low_Slope,High_Slope,MAD
Wet Pond,Fecal Coliform,MPN/100 mL,90,0,2,400.0,,,,,0.7769382045000744,0.8971574873810775,4.31945881091867,0.6771964859705935,1.125157732232468,3.580556264602806
Biofiltration/Bioretention,Total Copper,ug/L,195,2,10,2.9999370574951167,,,,,3.076352906619502,0.2904278679630129,1.3789442920881192,0.1805601020759985,0.3982874062265809,1.5881095699310066
Detention Basin,Total Copper,ug/L,167,15,18,2.9999370574951167,,,,,1.1946969305399533,0.7832099450586449,1.1191210440851758,0.7099388424499294,0.865610428443,1.3636502807048616
Hydrodynamic Separator,Total Copper,ug/L,32,0,0,2.9999370574951167,,,,,1.561114934340905,0.814183256544875,0.8920593005816799,0.527423926667197,1.0656704417943643,1.278994953315628
Sand Filter,Total Copper,ug/L,235,18,26,2.9999370574951167,,,,,1.425525773617589,0.677332437035123,1.0868718493775225,0.5503397132132092,0.7991337402307842,1.543744039950393
Vegetated Swale,Total Copper,ug/L,233,27,33,2.9999370574951167,,,,,1.6473139890060997,0.6917289724570004,1.017358236494385,0.6062249469441255,0.7754384270644044,1.3506558514096174
Wet Pond,Total Copper,ug/L,492,52,89,2.9999370574951167,,,,,1.3818325002660055,0.5961053227134463,1.3476312542642725,0.5139614577111147,0.6821084379722717,1.679012014992582
Biofiltration/Bioretention,Total Lead,ug/L,99,38,71,1.0,,,,,2.3626053666664575,0.4038537623100841,0.943265944087347,0.0,0.7617464582497366,1.6701483605089862
Detention Basin,Total Lead,ug/L,106,48,55,1.0,-0.8310306072235107,1.0,0.16879213084663003,,,,,0.9359278886561284,1.0,0.8310306072235107
Sand Filter,Total Lead,ug/L,192,28,53,1.0,0.9545496123033135,,0.17544229194125768,0.45703577110499105,,,,0.2442585669709935,0.6966527888457994,0.825680855196066
Vegetated Swale,Total Lead,ug/L,183,62,65,1.0,1.6949999594092362,0.43500001353025464,-0.3541662570299971,,,,,0.38248847913609413,0.47540984546306364,0.8649997158646539
Wet Pond,Total Lead,ug/L,466,84,144,1.0,0.9080340321142439,0.20000004768371582,0.8049071405381525,,,,,0.16,0.25000000764162117,1.3550000619888323
Biofiltration/Bioretention,Total Nitrogen,mg/L,240,2,3,1.7000000476837158,1.8728950827998465,,0.11719728636460723,0.7688208386386141,,,,0.47634528415591554,1.090957846836765,1.1055511057811933
Detention Basin,Total Nitrogen,mg/L,188,0,0,1.7000000476837158,0.8314740585094027,,0.13592487767194097,1.4296972454232912,,,,1.2398035787761914,1.6338148451692842,0.39918768489789547
Hydrodynamic Separator,Total Nitrogen,mg/L,53,0,0,1.7000000476837158,0.9599587298760718,0.40994790170686946,0.011273821574265645,,,,,0.23466561336194605,0.5719868377616023,0.4284826745573447
Sand Filter,Total Nitrogen,mg/L,149,0,0,1.7000000476837158,0.38108752196832774,0.5435981010122998,0.043527952933788805,,,,,0.4545412778889943,0.6239315803896243,0.3356678668973436
Vegetated Swale,Total Nitrogen,mg/L,125,0,0,1.7000000476837158,0.4581131436663697,0.629469960741265,0.231273548603153,,,,,0.4948453196481888,0.7635135992985983,0.3162084472001361
Wet Pond,Total Nitrogen,mg/L,476,0,0,1.7000000476837158,1.025825332092291,,0.05486862329624412,0.5830934717594277,,,,0.4747812890822995,0.6977672150357,0.3983147342254547
Biofiltration/Bioretention,Total Phosphorus,mg/L,305,8,14,0.10000000149011612,0.4815547464896113,,0.018476621291603632,0.09711014577965155,,,,0.05720633907492513,0.14291505504826804,0.21920595695055584
Detention Basin,Total Phosphorus,mg/L,342,0,0,0.10000000149011612,0.363657107344895,,0.015646464678879837,0.11805364643657323,,,,0.10149579496674248,0.13551681138512067,0.06122936657012483
Sand Filter,Total Phosphorus,mg/L,233,0,1,0.10000000149011612,0.1986469570100241,,0.019211702133698792,0.056801386431509844,,,,0.046935682514544746,0.06832532543672404,0.032771347541307574
Vegetated Swale,Total Phosphorus,mg/L,197,2,1,0.10000000149011612,0.4477732473488902,,0.023352739979538864,0.13580852659051185,,,,0.10315652875105655,0.17247330347075931,0.09231885594842176
Wet Pond,Total Phosphorus,mg/L,671,4,15,0.10000000149011612,0.2784379092700252,,0.0313343264930728,0.10353803216857162,,,,0.0901906290043048,0.11825047761423185,0.08627082835857168
Biofiltration/Bioretention,Total Suspended Solids,mg/L,391,0,20,5.0,,,,,5.182555667045641,0.19770519929225766,1.5194191572811055,0.11723262681851129,0.2814099934269232,1.850654342681905
Detention Basin,Total Suspended Solids,mg/L,379,1,1,5.0,,,,,1.6077335597645468,0.6594158496071107,1.506223687056861,0.5793589426457443,0.7372364081343984,1.633157135050027
Hydrodynamic Separator,Total Suspended Solids,mg/L,108,0,0,5.0,,,,,0.768986927019923,0.9399558346136275,1.2931752195325439,0.8327891682668732,1.0267582378929538,1.420557398271768
Sand Filter,Total Suspended Solids,mg/L,318,1,30,5.0,,,,,0.8745098001020576,0.585751237677174,1.8383537645812948,0.4775901242760519,0.6937841595852507,2.098543306773352
Vegetated Swale,Total Suspended Solids,mg/L,215,1,2,5.0,,,,,2.0892556648094356,0.6447308912570916,1.3516757063921951,0.5321082794658546,0.7654435158303247,1.6400528244260757
Wet Pond,Total Suspended Solids,mg/L,727,3,13,5.0,,,,,3.7025622993393044,0.33757988062448374,2.2264134355118554,0.26981668329817793,0.40716122979134967,2.219667217990105
Biofiltration/Bioretention,Total Zinc,ug/L,268,5,53,5.0,,,,,6.852341396059041,0.2283179889967647,1.3029810348690831,0.13658271777200756,0.3213957392205946,1.6827187163230874
Detention Basin,Total Zinc,ug/L,223,16,29,5.0,,,,,3.0177319909924547,0.6383411141904243,1.1806449453918824,0.5482920629554029,0.7232921120167302,1.568377926011119
Hydrodynamic Separator,Total Zinc,ug/L,63,0,0,5.0,,,,,0.7981011797423625,1.0326244543915575,1.0137466486757027,0.8639105175658841,1.1644848884972785,1.3179304389023438
Sand Filter,Total Zinc,ug/L,302,5,41,5.0,,,,,3.279633643134738,0.36993358626138795,1.4771850176834287,0.2609056640726383,0.47621196705476626,2.038610474670809
Vegetated Swale,Total Zinc,ug/L,240,25,27,5.0,,,,,4.267430877118879,0.5190181303506816,1.1332702964227863,0.45065671733338925,0.5849625007211564,1.3763598315998733
Wet Pond,Total Zinc,ug/L,638,40,80,5.0,,,,,4.156361721427686,0.4220690064430488,1.3597727425574873,0.34548511359011674,0.5022858032054983,1.7177534041269542
